iter	MultiClass
0	1.030586879
1	0.9778325838
2	0.9335700976
3	0.8940287016
4	0.8613242416
5	0.8334669748
6	0.8099988689
7	0.7892224373
8	0.771015454
9	0.7553484775
10	0.7409503697
11	0.7290529757
12	0.7186305975
13	0.7079992202
14	0.6984461566
15	0.6908767199
16	0.6832200862
17	0.6755671632
18	0.6697102601
19	0.6630530431
20	0.6574412221
21	0.6518598895
22	0.6470972489
23	0.6425997125
24	0.6387358898
25	0.6345748073
26	0.6314541926
27	0.6270470672
28	0.6237528626
29	0.6204222486
30	0.618207911
31	0.6154107218
32	0.6131989755
33	0.6108174872
34	0.6078941579
35	0.6059365746
36	0.6033159172
37	0.6011565672
38	0.599333353
39	0.5978316971
40	0.5957578602
41	0.594551859
42	0.5926990315
43	0.5905404655
44	0.589252111
45	0.5880281872
46	0.5855367165
47	0.5839728653
48	0.5825031147
49	0.5811335191
50	0.5796696256
51	0.5781203002
52	0.5769069767
53	0.5757082735
54	0.574574005
55	0.5732974472
56	0.5718021303
57	0.5705773187
58	0.5699068573
59	0.5686678843
60	0.5674206765
61	0.5651553537
62	0.5642384627
63	0.5632540854
64	0.5625173662
65	0.5615951886
66	0.5605861065
67	0.5597282777
68	0.5578036426
69	0.5566254447
70	0.5557354753
71	0.5547820087
72	0.5536923869
73	0.5524361088
74	0.550673215
75	0.5499600582
76	0.5491918328
77	0.5476079776
78	0.5465570772
79	0.5459713189
80	0.545352002
81	0.544227152
82	0.5432698096
83	0.5424698829
84	0.5418665228
85	0.541062569
86	0.5404666052
87	0.5394214014
88	0.5380003661
89	0.5372492171
90	0.5366265999
91	0.5360499177
92	0.5355177645
93	0.5346805719
94	0.5339923967
95	0.5327395326
96	0.5319843884
97	0.5314899137
98	0.5307286444
99	0.5298681026
100	0.5292721895
101	0.5287250003
102	0.5280326868
103	0.5274180556
104	0.5265760998
105	0.5256760609
106	0.5248417894
107	0.5240271455
108	0.5233851006
109	0.5227837311
110	0.5219994319
111	0.5210073562
112	0.5199532093
113	0.5193540931
114	0.5186492909
115	0.517857298
116	0.5172217529
117	0.5166637691
118	0.5160592224
119	0.5154525135
120	0.5149351941
121	0.5144067279
122	0.5139454668
