iter	Passed	Remaining
0	11	584822
1	21	539569
2	31	532775
3	41	521572
4	51	514378
5	60	508212
6	70	503927
7	80	504826
8	91	505609
9	101	507490
10	111	505874
11	121	507399
12	131	506052
13	144	515932
14	154	516282
15	164	514894
16	174	514203
17	185	514028
18	195	513897
19	204	510612
20	214	509626
21	223	507964
22	233	506850
23	244	509646
24	254	508898
25	263	507049
26	272	504922
27	281	502828
28	291	501758
29	300	500458
30	309	498776
31	318	496945
32	328	496882
33	337	496335
34	346	494675
35	355	492918
36	364	491580
37	372	490404
38	381	489335
39	390	488248
40	400	487718
41	409	486903
42	419	487570
43	430	488346
44	439	488114
45	449	488553
46	463	493110
47	473	492249
48	482	492364
49	495	495470
50	504	494420
51	514	493856
52	522	492673
53	532	492362
54	542	492336
55	551	491696
56	561	491752
57	570	491463
58	580	490992
59	592	493060
60	601	492287
61	610	491670
62	619	491202
63	630	492156
64	640	492165
65	650	492468
66	660	492080
67	669	491665
68	678	491181
69	687	490514
70	696	490000
71	706	489784
72	715	489312
73	724	488986
74	733	488464
75	742	488006
76	751	487482
77	761	487360
78	771	487356
79	780	486873
80	789	486269
81	799	486403
82	808	486492
83	820	487388
84	829	487022
85	838	486573
86	847	485963
87	856	485522
88	865	485262
89	874	484959
90	884	485112
91	894	485019
92	903	485086
93	912	484703
94	921	484081
95	930	483616
96	938	483052
97	947	482583
98	956	482117
99	965	481743
100	974	481269
101	983	481298
102	992	481020
103	1001	480687
104	1011	480676
105	1020	480246
106	1029	479921
107	1038	479668
108	1047	479666
109	1059	480615
110	1068	480255
111	1077	480157
112	1086	479871
113	1096	479985
114	1105	479680
115	1116	479934
116	1126	480324
117	1136	480261
118	1146	480733
119	1155	480454
120	1165	480283
121	1175	480675
122	1187	481593
123	1197	481500
124	1206	481352
125	1214	480878
126	1224	480951
127	1236	481635
128	1245	481640
129	1255	481489
130	1263	481147
131	1272	480914
132	1280	480297
133	1290	480086
134	1298	479740
135	1307	479455
136	1317	479362
137	1325	478877
138	1335	479079
139	1344	478881
140	1353	478548
141	1362	478505
142	1373	478982
143	1382	478812
144	1391	478382
145	1400	478074
146	1409	477852
147	1417	477599
148	1426	477376
149	1436	477256
150	1444	476895
151	1453	476593
152	1462	476369
153	1470	476031
154	1479	475797
155	1487	475412
156	1496	475036
157	1505	474834
158	1513	474531
159	1522	474165
160	1530	473823
161	1539	473724
162	1549	473765
163	1560	474151
164	1574	475423
165	1585	475942
166	1595	476051
167	1604	475896
168	1614	476088
169	1625	476386
170	1634	476411
171	1643	476235
172	1653	476374
173	1665	476886
174	1674	476713
175	1683	476446
176	1693	476770
177	1703	476828
178	1712	476767
179	1721	476540
180	1730	476429
181	1740	476549
182	1750	476532
183	1761	476893
184	1771	476950
185	1784	477788
186	1793	477673
187	1802	477673
188	1811	477514
189	1821	477549
190	1830	477457
191	1840	477510
192	1850	477531
193	1860	477606
194	1872	478240
195	1881	478173
196	1891	478120
197	1900	478148
198	1911	478428
199	1920	478310
200	1929	478089
201	1939	478161
202	1949	478214
203	1959	478228
204	1968	478172
205	1978	478265
206	1989	478471
207	1998	478485
208	2009	478651
209	2022	479530
210	2036	480452
211	2046	480615
212	2056	480660
213	2066	480668
214	2074	480446
215	2084	480399
216	2093	480354
217	2104	480604
218	2113	480406
219	2122	480297
220	2134	480861
221	2144	480805
222	2154	480849
223	2179	484379
224	2189	484427
225	2200	484669
226	2210	484636
227	2219	484512
228	2230	484854
229	2239	484593
230	2249	484640
231	2258	484476
232	2267	484234
233	2276	484213
234	2285	484038
235	2294	483852
236	2303	483581
237	2311	483297
238	2320	483072
239	2329	483081
240	2339	483060
241	2348	482848
242	2357	482772
243	2370	483298
244	2378	483099
245	2387	482877
246	2397	482876
247	2409	483285
248	2417	483066
249	2426	482921
250	2435	482741
251	2445	482689
252	2454	482571
253	2462	482371
254	2471	482214
255	2481	482152
256	2490	482086
257	2499	481892
258	2508	481714
259	2516	481468
260	2526	481391
261	2534	481182
262	2543	481085
263	2553	481006
264	2562	480848
265	2571	480772
266	2582	481070
267	2591	480889
268	2600	480812
269	2610	480764
270	2623	481391
271	2631	481121
272	2640	480922
273	2648	480710
274	2657	480563
275	2665	480295
276	2674	480148
277	2683	480002
278	2692	479847
279	2701	479711
280	2710	479532
281	2719	479380
282	2727	479180
283	2736	479105
284	2745	478986
285	2755	478936
286	2766	479273
287	2777	479449
288	2786	479312
289	2795	479124
290	2803	478915
291	2812	478851
292	2821	478661
293	2830	478603
294	2841	478691
295	2851	478854
296	2860	478702
297	2869	478602
298	2878	478498
299	2889	478635
300	2898	478513
301	2907	478535
302	2916	478386
303	2925	478213
304	2933	478040
305	2943	477967
306	2952	477862
307	2961	477851
308	2972	478041
309	2982	478075
310	2994	478478
311	3007	478957
312	3017	478999
313	3026	478953
314	3037	479172
315	3047	479129
316	3056	478983
317	3064	478767
318	3073	478630
319	3082	478530
320	3091	478373
321	3100	478289
322	3109	478198
323	3118	478121
324	3127	478024
325	3137	478068
326	3147	478095
327	3158	478261
328	3168	478298
329	3177	478326
330	3187	478266
331	3195	478086
332	3204	478007
333	3213	477904
334	3222	477693
335	3230	477507
336	3239	477336
337	3247	477182
338	3255	476945
339	3264	476765
340	3272	476550
341	3280	476393
342	3289	476247
343	3298	476084
344	3306	475967
345	3315	475867
346	3324	475751
347	3332	475544
348	3343	475720
349	3354	475819
350	3362	475648
351	3371	475511
352	3380	475446
353	3389	475377
354	3400	475558
355	3409	475496
356	3418	475327
357	3427	475252
358	3439	475598
359	3452	476059
360	3461	475975
361	3470	475915
362	3480	475893
363	3490	475975
364	3499	475947
365	3511	476211
366	3520	476097
367	3529	475980
368	3537	475824
369	3547	475789
370	3555	475608
371	3564	475521
372	3573	475406
373	3584	475584
374	3593	475531
375	3602	475453
376	3611	475408
377	3621	475377
378	3632	475554
379	3641	475472
380	3650	475381
381	3659	475345
382	3668	475276
383	3678	475280
384	3688	475386
385	3697	475285
386	3706	475208
387	3715	475057
388	3724	475015
389	3734	474998
390	3745	475210
391	3754	475086
